800
8.95725e+19 0.0181752 1.85221e+18
1 0 -2.12132 -3.53553
1 0.707107 -1.41421 -3.53553
1 1.41421 -0.707107 -3.53553
1 0 -2.82843 -2.82843
1 0.707107 -2.12132 -2.82843
1 1.41421 -1.41421 -2.82843
1 2.12132 -0.707107 -2.82843
1 0.707107 -2.82843 -2.12132
1 1.41421 -2.12132 -2.12132
1 2.12132 -1.41421 -2.12132
1 2.82843 -0.707107 -2.12132
1 0.707107 -3.53553 -1.41421
1 1.41421 -2.82843 -1.41421
1 2.12132 -2.12132 -1.41421
1 2.82843 -1.41421 -1.41421
1 3.53553 -0.707107 -1.41421
1 1.41421 -3.53553 -0.707107
1 2.12132 -2.82843 -0.707107
1 2.82843 -2.12132 -0.707107
1 3.53553 -1.41421 -0.707107
1 2.12132 -3.53553 0
1 2.82843 -2.82843 0
1 3.53553 0 2.12132
1 -0.707107 3.53553 -1.41421
1 0.707107 0.707107 -2.82843
1 -0.707107 -1.41421 -3.53553
1 0 -0.707107 -3.53553
1 0.707107 0 -3.53553
1 -0.707107 -2.12132 -2.82843
1 -0.707107 -2.82843 -2.12132
1 -0.707107 -3.53553 -1.41421
1 0 -3.53553 -0.707107
1 3.53553 0 -0.707107
1 0.707107 -3.53553 0
1 3.53553 -0.707107 0
1 1.41421 -3.53553 0.707107
1 2.12132 -2.82843 0.707107
1 2.82843 -2.12132 0.707107
1 3.53553 -1.41421 0.707107
1 -1.41421 -0.707107 -3.53553
1 -0.707107 0 -3.53553
1 0 0.707107 -3.53553
1 -1.41421 -1.41421 -2.82843
1 -1.41421 -2.12132 -2.12132
1 -1.41421 -2.82843 -1.41421
1 2.12132 0 -2.12132
1 -1.41421 -3.53553 -0.707107
1 -0.707107 -3.53553 0
1 3.53553 0.707107 0
1 0.707107 2.82843 -0.707107
1 0 -3.53553 0.707107
1 3.53553 0 0.707107
1 0.707107 -3.53553 1.41421
1 1.41421 -2.82843 1.41421
1 2.12132 -2.12132 1.41421
1 2.82843 -1.41421 1.41421
1 3.53553 -0.707107 1.41421
1 -2.12132 0 -3.53553
1 -1.41421 0.707107 -3.53553
1 -0.707107 1.41421 -3.53553
1 -2.12132 -0.707107 -2.82843
1 0 2.82843 -1.41421
1 0.707107 2.12132 -1.41421
1 -2.12132 -1.41421 -2.12132
1 2.12132 0.707107 -1.41421
1 -2.12132 -2.12132 -1.41421
1 -2.12132 -2.82843 -0.707107
1 -2.12132 -3.53553 0
1 -1.41421 -3.53553 0.707107
1 3.53553 1.41421 0.707107
1 -0.707107 -3.53553 1.41421
1 3.53553 0.707107 1.41421
1 0 -3.53553 2.12132
1 0.707107 -2.82843 2.12132
1 1.41421 -2.12132 2.12132
1 2.12132 -1.41421 2.12132
1 2.82843 -0.707107 2.12132
1 -2.82843 0 -2.82843
1 -2.12132 0.707107 -2.82843
1 -1.41421 1.41421 -2.82843
1 -0.707107 2.12132 -2.82843
1 -2.82843 -0.707107 -2.12132
1 -2.82843 -1.41421 -1.41421
1 -2.82843 -2.12132 -0.707107
1 -2.82843 -2.82843 0
1 1.41421 2.12132 -0.707107
1 -2.12132 -2.82843 0.707107
1 2.82843 2.12132 0.707107
1 -1.41421 -2.82843 1.41421
1 2.82843 1.41421 1.41421
1 -0.707107 -2.82843 2.12132
1 2.82843 0.707107 2.12132
1 2.12132 1.41421 -0.707107
1 0 -2.82843 2.82843
1 0.707107 -2.12132 2.82843
1 1.41421 -1.41421 2.82843
1 2.12132 -0.707107 2.82843
1 2.82843 0 2.82843
1 -2.82843 0.707107 -2.12132
1 -2.12132 1.41421 -2.12132
1 -1.41421 2.12132 -2.12132
1 -0.707107 2.82843 -2.12132
1 -3.53553 -0.707107 -1.41421
1 1.41421 1.41421 -1.41421
1 -3.53553 -1.41421 -0.707107
1 -3.53553 -2.12132 0
1 1.41421 2.82843 0
1 2.82843 0.707107 -0.707107
1 -2.82843 -2.12132 0.707107
1 2.12132 2.82843 0.707107
1 -2.12132 -2.12132 1.41421
1 2.12132 2.12132 1.41421
1 -1.41421 -2.12132 2.12132
1 2.12132 1.41421 2.12132
1 -0.707107 -2.12132 2.82843
1 2.12132 0.707107 2.82843
1 0 -2.12132 3.53553
1 0.707107 -1.41421 3.53553
1 1.41421 -0.707107 3.53553
1 2.12132 0 3.53553
1 -2.82843 0.707107 -0.707107
1 -2.82843 1.41421 -1.41421
1 -2.12132 2.12132 -1.41421
1 -1.41421 2.82843 -1.41421
1 -3.53553 0 -0.707107
1 0 3.53553 -0.707107
1 -3.53553 -0.707107 0
1 0.707107 3.53553 0
1 -3.53553 -1.41421 0.707107
1 1.41421 3.53553 0.707107
1 3.53553 -2.12132 0
1 -2.82843 -1.41421 1.41421
1 1.41421 2.82843 1.41421
1 -2.12132 -1.41421 2.12132
1 1.41421 2.12132 2.12132
1 -1.41421 -1.41421 2.82843
1 1.41421 1.41421 2.82843
1 -0.707107 -1.41421 3.53553
1 0 -0.707107 3.53553
1 0.707107 0 3.53553
1 1.41421 0.707107 3.53553
1 -2.82843 2.12132 -0.707107
1 -2.12132 2.82843 -0.707107
1 -1.41421 3.53553 -0.707107
1 -3.53553 0.707107 0
1 -0.707107 3.53553 0
1 -3.53553 0 0.707107
1 0 3.53553 0.707107
1 -3.53553 -0.707107 1.41421
1 0.707107 1.41421 -2.12132
1 0.707107 3.53553 1.41421
1 -2.82843 -0.707107 2.12132
1 0.707107 2.82843 2.12132
1 -2.12132 -0.707107 2.82843
1 -3.53553 -1.41421 -2.12132
1 0.707107 2.12132 2.82843
1 -1.41421 -0.707107 3.53553
1 -0.707107 0 3.53553
1 0 0.707107 3.53553
1 0.707107 1.41421 3.53553
1 -2.82843 0 -1.41421
1 -2.12132 2.12132 0
1 -3.53553 1.41421 0.707107
1 -2.82843 2.12132 0.707107
1 -2.12132 2.82843 0.707107
1 -1.41421 3.53553 0.707107
1 -3.53553 0.707107 1.41421
1 -2.82843 1.41421 1.41421
1 -2.12132 2.12132 1.41421
1 -1.41421 2.82843 1.41421
1 -0.707107 3.53553 1.41421
1 -2.82843 0.707107 2.12132
1 -2.12132 1.41421 2.12132
1 -1.41421 2.12132 2.12132
1 -0.707107 2.82843 2.12132
1 0 3.53553 2.12132
1 -2.82843 0 2.82843
1 -2.12132 0.707107 2.82843
1 -1.41421 1.41421 2.82843
1 -0.707107 2.12132 2.82843
1 0 2.82843 2.82843
1 -2.12132 0 3.53553
1 -1.41421 0.707107 3.53553
1 -0.707107 1.41421 3.53553
1 0 2.12132 3.53553
1 2.82843 1.41421 0
1 1.41421 0 -2.82843
1 2.82843 0 -1.41421
1 -2.82843 0 1.41421
1 0 -3.53553 -2.12132
1 0 1.41421 -2.82843
1 2.12132 2.12132 0
1 1.41421 0.707107 -2.12132
1 0 2.12132 -2.12132
1 -1.41421 2.82843 0
1 -2.82843 1.41421 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
