What great data this is!
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
This is an even line
This is an odd line
